"duration_ride","member_count","casual_count"
1,25866,13625
2,121034,36369
3,202458,63341
4,257611,93982
5,253791,107013
6,249856,119148
7,221871,117618
8,206513,118892
9,179795,109608
10,166101,106130
11,141817,95974
12,128460,90604
13,110525,80362
14,101983,75772
15,87245,67081
16,79774,63433
17,68627,56247
18,63133,53058
19,54454,47146
20,50893,45829
21,44159,39925
22,40930,38269
23,36136,34232
24,33372,32721
25,29446,29580
26,27616,28363
27,24474,25567
28,23086,24689
29,20097,22402
30,19162,21215
31,16786,18891
32,15754,17927
33,14021,16264
34,13441,15771
35,11953,14025
36,11312,13405
37,10096,12556
38,9670,12097
39,8325,10991
40,7993,10858
41,7160,9887
42,6753,9467
43,5914,8739
44,5396,8561
45,4537,7823
46,4101,7693
47,3338,7071
48,2983,6810
49,2503,6384
50,2282,6343
51,2105,5847
52,1949,5758
53,1666,5412
54,1628,5374
55,1446,5087
56,1354,4849
57,1232,4619
58,1208,4495
59,1023,4161
60,536,2150
