"duration_ride","member_summer_count","casual_summer_count"
1,8853,6793
2,36474,16400
3,61218,26078
4,78975,39455
5,81820,45640
6,84915,52881
7,78328,53663
8,74898,55517
9,66865,52200
10,63173,51303
11,54758,46951
12,50696,45130
13,44433,40050
14,41631,38148
15,36067,34096
16,33139,32596
17,28911,29114
18,26677,27332
19,23116,24504
20,22027,23844
21,19197,20632
22,17678,19737
23,15784,17752
24,14643,16993
25,13067,15371
26,12177,14598
27,10881,13123
28,10269,12640
29,8896,11470
30,8498,10899
31,7394,9644
32,6893,9287
33,6162,8462
34,5903,8139
35,5173,7192
36,4998,6884
37,4482,6509
38,4225,6281
39,3818,5706
40,3543,5528
41,3211,5156
42,2925,4903
43,2616,4582
44,2355,4395
45,2036,4140
46,1801,3992
47,1479,3629
48,1354,3579
49,1123,3322
50,1023,3246
51,967,3032
52,904,3052
53,794,2794
54,736,2815
55,674,2696
56,615,2484
57,560,2402
58,539,2323
59,482,2157
60,255,1102
